
2015-12-8  10:10:15
Enter time to start(hour min):Enter time to stop(hour min):
20983       3.247876
20994	25.561849
20993	26.601065
20994	27.470429
20993	27.818511
20994	27.986817
20995	30.749436
20996	33.328596
20997	35.926294
20998	38.374490
20999	41.036248
21000	43.425136
21001	46.105194
21002	48.564686
21004	51.070820
21005	56.033274
21006	58.672666
21007	61.213905
21008	63.883748
21009	66.379741
21010	69.048089
21011	71.509375
21012	73.923776
21014	76.376157
21013	76.708339
21014	78.826767
21015	81.417375
21016	83.998380
21017	86.480257
21018	88.941193
21019	91.407454
21020	94.049427
21021	96.512047
21022	98.938470
21023	101.573898
21024	104.028684
2102	106.468963
21025	106.633743
21026	109.229922
21027	111.715150
21028	114.175672
21029	116.659654
21030	119.135129
21031	121.775869
21032	124.371098
21033	126.855413
21034	129.321750
21035	131.952400
21036	134.384794
21037	136.898016
21038	139.559934
21039	142.056953
21040	144.545108
21041	147.196897
21042	149.640870
21044	152.318400
21043	152.819707
21044	154.798552
21045	157.275456
21046	161.778285
21048	167.336286
21049	172.749367
21050	175.939326
21051	179.630089
21053	184.327686
21054	188.015106
21055	190.191433
21056	193.716921
21057	196.904085
21058	202.448633
21059	205.809236
21060	210.175963
21061	213.363346
21062	216.546432
21063	218.898869
21064	222.089515
21065	224.271879
21066	228.647507
21068	231.846611
21069	235.042857
21070	239.407330
21071	242.599626
Printed
21061     260.805582

00000     267.178577

21065     274.557942
